Lat,Long,Nsat,Altitude,Height,SolarRadiation,Temperature,Humidity,Acceleration,devEUI,TimeStamp,Time,Frequency,Bandwidth,RSSI,SNR,CycleTimeTX,MeanCurrentTX,TotalChargeTX,CycleTimeSleep,MeanCurrentSleep,TotalChargeSleep
43.76495783333333,11.300288,18,53.4,45.4,7286,20.5,61.7,29.485930110289736,0016c001f0116140,1748243318576,2025-05-26 09:08:38,2009765600.0,137.0,-78.0,-7.2,36770,19.09918411748708,702277.0,36485,9.814910237083737,358097.00000000006
43.76495783333333,11.300288,18,53.4,45.4,7286,20.5,61.7,29.485930110289736,0016c001f0116140,1748243371840,2025-05-26 09:09:31,2009921900.0,137.0,-78.0,-7.2,36770,19.09918411748708,702277.0,36485,9.814910237083737,358097.00000000006
43.76444866666667,11.301868,18,53.6,45.4,7210,20.5,61.2,7.708383503671551,0016c001f0116140,1748243435572,2025-05-26 09:10:35,2009609400.0,137.0,-80.0,-8.5,65085,36.5990166705078,2382047.0,37605,10.18175774498072,382885.0
43.76416283333333,11.3031505,18,53.7,45.4,5950,20.7,60.7,29.46706371408726,0016c001f0116140,1748243524585,2025-05-26 09:12:04,2009609400.0,137.0,-80.0,-9.5,37010,19.067211564442044,705677.5,38215,9.814248331806882,375051.5
43.766307833333336,11.288367333333332,11,48.1,45.4,5525,20.5,58.7,10.119073419237402,0016c001f0116140,1748242332575,2025-05-26 08:52:12,2009765600.0,137.0,-80.0,-9.0,38310,19.121639258679195,732550.0,36890,9.81648143128219,362130.0
43.766398333333335,11.295428333333334,18,53.3,45.4,6504,20.7,59.7,9.858372384554157,0016c001f0116140,1748242957580,2025-05-26 09:02:37,2009921900.0,137.0,-81.0,-10.2,36980,21.03278799351001,777792.5,39020,9.811737570476678,382854.0
43.76384033333333,11.299833333333334,20,51.8,45.4,2246,19.8,60.6,6.725407497768005,0016c001f0116140,1748243971684,2025-05-26 09:19:31,2009921900.0,137.0,-80.0,-9.0,37925,18.85119314436388,714931.5000000001,37815,9.8144916038609,371135.0
43.766658,11.290877166666666,14,43.2,45.4,2762,21.3,58.6,29.58595504884229,0016c001f0116140,1748242511537,2025-05-26 08:55:11,2009921900.0,137.0,-81.0,-9.8,36400,19.21760989010989,699521.0,38350,9.816284224250326,376454.5
43.7639295,11.303929833333331,18,51.9,45.4,3536,20.5,58.2,29.58772817182845,0016c001f0116140,1748243613626,2025-05-26 09:13:33,2009453000.0,137.0,-80.0,-9.0,37050,19.05595141700405,706023.0,36975,9.815672751859363,362934.5
43.7634645,11.2849915,19,31.5,45.4,3498,20.8,60.2,29.50903809987223,0016c001f0116140,1748245044669,2025-05-26 09:37:24,2009765600.0,137.0,-77.0,-5.8,37250,19.021100671140942,708536.0000000001,37585,9.819223094319543,369055.50000000006
43.765563,11.281565333333331,19,55.8,45.4,3643,21.0,60.0,29.550903206875592,0016c001f0116140,1748245410626,2025-05-26 09:43:30,2009765600.0,137.0,-81.0,-9.8,35930,18.799944336209293,675481.9999999999,37110,9.819347884667206,364396.0
43.7656935,11.283137333333332,9,53.8,45.4,3734,20.7,59.4,29.798098056792483,0016c001f0116140,1748241972633,2025-05-26 08:46:12,2009765600.0,137.0,-81.0,-10.0,39510,19.89298911667932,785972.0,37520,9.81503198294243,368260.0
43.763821666666665,11.2976745,20,50.1,45.4,3794,19.7,61.7,7.1968730199125845,0016c001f0116140,1748244151573,2025-05-26 09:22:31,2009609400.0,137.0,-78.0,-7.5,38015,18.830803630146,715853.0000000001,36850,9.81459972862958,361668.00000000006
