Phi[deg],Theta[deg],RealizedGainTotal
34,2,0.80093
36,2,0.800689
38,2,0.800428
40,2,0.800148
42,2,0.799848
44,2,0.79953
46,2,0.799194
48,2,0.798841
50,2,0.79847
52,2,0.798083
54,2,0.79768
56,2,0.797262
58,2,0.796829
60,2,0.796382
62,2,0.795921
64,2,0.795448
66,2,0.794963
68,2,0.794466
70,2,0.793959
72,2,0.793441
74,2,0.792915
76,2,0.79238
78,2,0.791837
80,2,0.791288
82,2,0.790732
84,2,0.790171
86,2,0.789605
88,2,0.789036
90,2,0.788463
92,2,0.787888
94,2,0.787311
96,2,0.786734
98,2,0.786156
100,2,0.78558
102,2,0.785005
104,2,0.784432
106,2,0.783862
108,2,0.783296
110,2,0.782734
112,2,0.782178
114,2,0.781627
116,2,0.781083
118,2,0.780546
120,2,0.780017
122,2,0.779496
124,2,0.778984
126,2,0.778482
128,2,0.77799
130,2,0.777508
132,2,0.777038
134,2,0.77658
136,2,0.776133
138,2,0.775699
140,2,0.775279
142,2,0.774871
144,2,0.774478
146,2,0.774098
148,2,0.773733
150,2,0.773383
152,2,0.773048
154,2,0.772728
156,2,0.772423
158,2,0.772134
160,2,0.771861
162,2,0.771604
164,2,0.771363
166,2,0.771139
168,2,0.770931
170,2,0.770739
172,2,0.770564
174,2,0.770405
176,2,0.770263
178,2,0.770137
180,2,0.770029
-180,4,0.753929
-178,4,0.753784
-176,4,0.753667
-174,4,0.753577
-172,4,0.753513
-170,4,0.753475
-168,4,0.753462
-166,4,0.753474
-164,4,0.75351
-162,4,0.75357
-160,4,0.753654
-158,4,0.753761
-156,4,0.753891
-154,4,0.754044
-152,4,0.75422
-150,4,0.754418
-148,4,0.75464
-146,4,0.754884
-144,4,0.755151
-142,4,0.755442
-140,4,0.755756
-138,4,0.756094
-136,4,0.756456
-134,4,0.756843
-132,4,0.757255
-130,4,0.757692
-128,4,0.758155
-126,4,0.758645
-124,4,0.759161
-122,4,0.759705
-120,4,0.760277
-118,4,0.760878
-116,4,0.761506
-114,4,0.762165
-112,4,0.762852
-110,4,0.763569
-108,4,0.764316
-106,4,0.765093
-104,4,0.765899
-102,4,0.766736
-100,4,0.767601
-98,4,0.768497
-96,4,0.769421
-94,4,0.770373
-92,4,0.771354
-90,4,0.772361
-88,4,0.773394
-86,4,0.774452
-84,4,0.775534
-82,4,0.776639
-80,4,0.777765
-78,4,0.778911
-76,4,0.780075
-74,4,0.781255
-72,4,0.78245
-70,4,0.783658
-68,4,0.784877
-66,4,0.786104
-64,4,0.787337
-62,4,0.788575
-60,4,0.789815
-58,4,0.791054
-56,4,0.792291
-54,4,0.793523
-52,4,0.794747
-50,4,0.795962
-48,4,0.797164
-46,4,0.798351
-44,4,0.799522
-42,4,0.800673
-40,4,0.801803
-38,4,0.802909
-36,4,0.803989
-34,4,0.805041
-32,4,0.806063
-30,4,0.807053
-28,4,0.808009
-26,4,0.80893
-24,4,0.809814
-22,4,0.810659
-20,4,0.811464
-18,4,0.812228
-16,4,0.812949
-14,4,0.813627
-12,4,0.814259
-10,4,0.814846
-8,4,0.815387
-6,4,0.81588
-4,4,0.816326
-2,4,0.816724
0,4,0.817073
2,4,0.817373
4,4,0.817624
6,4,0.817827
8,4,0.81798
10,4,0.818083
12,4,0.818138
14,4,0.818144
16,4,0.818102
18,4,0.818011
20,4,0.817873
22,4,0.817687
24,4,0.817455
26,4,0.817177
28,4,0.816852
30,4,0.816484
32,4,0.81607
34,4,0.815614
36,4,0.815115
38,4,0.814575
40,4,0.813993
42,4,0.813372
44,4,0.812713
46,4,0.812015
48,4,0.811281
50,4,0.810512
52,4,0.809708
54,4,0.808871
56,4,0.808003
58,4,0.807104
60,4,0.806176
62,4,0.80522
64,4,0.804238
66,4,0.803231
68,4,0.8022
70,4,0.801147
72,4,0.800074
74,4,0.798983
76,4,0.797874
78,4,0.796749
80,4,0.795611
82,4,0.79446
84,4,0.793299
86,4,0.792128
88,4,0.790951
90,4,0.789768
92,4,0.788582
94,4,0.787394
96,4,0.786205
98,4,0.785018
100,4,0.783835
102,4,0.782656
104,4,0.781484
106,4,0.780321
108,4,0.779167
110,4,0.778025
112,4,0.776897
114,4,0.775783
116,4,0.774686
118,4,0.773606
120,4,0.772546
122,4,0.771506
124,4,0.770489
126,4,0.769494
128,4,0.768524
130,4,0.76758
132,4,0.766662
134,4,0.765772
136,4,0.76491
138,4,0.764078
140,4,0.763276
142,4,0.762504
144,4,0.761763
146,4,0.761055
148,4,0.760378
150,4,0.759734
152,4,0.759122
154,4,0.758543
156,4,0.757997
158,4,0.757484
160,4,0.757003
162,4,0.756555
164,4,0.75614
166,4,0.755756
168,4,0.755404
170,4,0.755083
172,4,0.754792
174,4,0.754533
176,4,0.754302
178,4,0.754101
180,4,0.753929
-180,6,0.73781
-178,6,0.737654
-176,6,0.737532
-174,6,0.737441
-172,6,0.737379
-170,6,0.737344
-168,6,0.737335
-166,6,0.737349
-164,6,0.737386
-162,6,0.737445
-160,6,0.737523
-158,6,0.73762
-156,6,0.737736
-154,6,0.73787
-152,6,0.738022
-150,6,0.738192
-148,6,0.73838
