"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,-180,-0.0793876720273303,-18.0829668637786,-0.0111522075981084
2,90,-179,-0.0404147905914269,-17.8414819017463,0.031051197181839
2,90,-178,-0.0210816301241258,-17.5922417020974,0.0542360573686158
2,90,-177,-0.0222709660060992,-17.3398436360098,0.0575341399745069
2,90,-176,-0.0447040408779856,-17.0884207605556,0.0402449581746271
2,90,-175,-0.0889617249617632,-16.8415403811618,0.00181607424709954
2,90,-174,-0.155502236895567,-16.6021670708718,-0.0581732306374134
2,90,-173,-0.244675410786596,-16.3726720890396,-0.140024838486997
2,90,-172,-0.356733557071879,-16.1548726125204,-0.243931224230775
2,90,-171,-0.491838956890153,-15.9500875623898,-0.369981438816293
2,90,-170,-0.65006796968641,-15.7592005840522,-0.518163613163542
2,90,-169,-0.831411633357799,-15.5827240924843,-0.688363878560643
2,90,-168,-1.03577250264167,-15.4208609013475,-0.880361504575761
2,90,-167,-1.26295730924992,-15.2735617851501,-1.09381994840903
2,90,-166,-1.5126648405487,-15.1405784865079,-1.32827340092181
2,90,-165,-1.78446822864559,-15.0215123266143,-1.58310831946312
2,90,-164,-2.0777906308989,-14.9158588507971,-1.85753937874273
2,90,-163,-2.39187309017418,-14.8230489633401,-2.15057928313717
2,90,-162,-2.72573323290451,-14.7424868721186,-2.46100201917985
2,90,-161,-3.07811347169984,-14.6735849489404,-2.78729946091567
2,90,-160,-3.4474176517139,-14.6157953754654,-3.12763187578236
2,90,-159,-3.83163580771479,-14.5686382352345,-3.47977394271902
2,90,-158,-4.2282581547214,-14.5317255671687,-3.84105952591749
2,90,-157,-4.63418196958353,-14.5047808407696,-4.20833075614882
2,90,-156,-5.04561900951316,-14.487653360355,-4.57789995603924
2,90,-155,-5.45801680693348,-14.4803272518486,-4.94553636255665
2,90,-154,-5.86601439578729,-14.4829249125143,-5.3064927873083
2,90,-153,-6.26346065025555,-14.4957050806078,-5.65558907252677
2,90,-152,-6.64352882285905,-14.5190559697059,-5.98736762681075
2,90,-151,-6.99895961509316,-14.5534841721362,-6.29632943620607
2,90,-150,-7.32245171372368,-14.5996002340531,-6.57724546825958
2,90,-149,-7.60718931677212,-14.6581019190172,-6.8255192221185
2,90,-148,-7.84745300897979,-14.7297561989553,-7.03755562586186
2,90,-147,-8.03921569343283,-14.8153809460771,-7.21107700525418
2,90,-146,-8.18060000399453,-14.9158271622196,-7.34532639845796
2,90,-145,-8.27208717189999,-15.0319623948968,-7.44111601837153
2,90,-144,-8.31642326161953,-15.1646557752469,-7.50071054606957
2,90,-143,-8.31824747848826,-15.3147648927424,-7.5275705035855
2,90,-142,-8.28353545390562,-15.4831245103619,-7.52600761596149
2,90,-141,-8.21898113564214,-15.6705369307128,-7.50081380032288
2,90,-140,-8.13142884600717,-15.8777636504889,-7.45691808521851
2,90,-139,-8.02742717224082,-16.105517783771,-7.39910761616604
2,90,-138,-7.91293056646663,-16.3544565853351,-7.33182817285432
2,90,-137,-7.79313905477884,-16.6251732508125,-7.25906258692333
2,90,-136,-7.67244711473511,-16.9181869960626,-7.18427485716006
2,90,-135,-7.55446748956539,-17.2339302064359,-7.11040339177148
2,90,-134,-7.44209916920515,-17.5727311800057,-7.03988691309892
2,90,-133,-7.33761596017461,-17.9347906508105,-6.97470912167023
2,90,-132,-7.24275965767483,-18.3201498571838,-6.91645164341462
2,90,-131,-7.1588281919573,-18.728647417447,-6.86634809721932
2,90,-130,-7.08675377355031,-19.1598617187565,-6.82533485900132
2,90,-129,-7.02716913800989,-19.6130349958906,-6.79409614194976
2,90,-128,-6.98046184223447,-20.0869749534474,-6.7731024185686
2,90,-127,-6.94681756096445,-20.5799300117227,-6.76264210648514
2,90,-126,-6.92625377889487,-21.089435641036,-6.76284696333223
2,90,-125,-6.91864539293006,-21.6121327715427,-6.77371190428415
2,90,-124,-6.9237436795874,-22.1435663361942,-6.79511006015168
2,90,-123,-6.94118993845579,-22.6779843068646,-6.82680389993798
2,90,-122,-6.97052495003022,-23.2081763775188,-6.86845319431231
2,90,-121,-7.01119521668121,-23.7254158767299,-6.91962052498623
2,90,-120,-7.06255680527082,-24.2195926403752,-6.97977496794193
2,90,-119,-7.12387748623489,-24.6796342258112,-7.04829450681105
2,90,-118,-7.19433776879966,-25.0942855657876,-7.12446767229425
2,90,-117,-7.27303136432766,-25.4532320725204,-7.20749485672311
2,90,-116,-7.35896556664415,-25.7484117782587,-7.29648971959817
2,90,-115,-7.45106201525382,-25.975219582913,-7.39048107820356
2,90,-114,-7.54815829903168,-26.1332520876022,-7.48841566365352
2,90,-113,-7.6490108573315,-26.2263447332105,-7.58916211204474
2,90,-112,-7.75229963412188,-26.2618881939823,-7.69151654664053
2,90,-111,-7.85663492892322,-26.2496534496175,-7.79421008312113
2,90,-110,-7.960566855049,-26.2004741740739,-7.89591854832024
2,90,-109,-8.06259774968819,-26.1250938968007,-7.99527463621081
2,90,-108,-8.16119777146805,-26.0333471555596,-8.09088262720068
2,90,-107,-8.25482376209854,-25.9337009802546,-8.1813356647574
2,90,-106,-8.34194123782176,-25.8330918294211,-8.26523541796079
2,90,-105,-8.4210491200379,-25.7369608727601,-8.34121376639871
2,90,-104,-8.49070652911095,-25.6493976044991,-8.407955938045
2,90,-103,-8.5495606781009,-25.5733252633398,-8.46422433096466
2,90,-102,-8.59637465016017,-25.5106863072853,-8.50888208031509
2,90,-101,-8.63005366527593,-25.4626056637032,-8.54091531932789
2,90,-100,-8.6496683772021,-25.4295224674625,-8.55945305022953
2,90,-99,-8.65447381720195,-25.4112886947346,-8.56378360417257
2,90,-98,-8.64392282628771,-25.4072372283997,-8.55336683190535
2,90,-97,-8.61767317708269,-25.4162239603765,-8.5278414182576
2,90,-96,-8.57558804181972,-25.4366496319498,-8.48702702853606
2,90,-95,-8.5177299581167,-25.4664679315152,-8.43092133795034
2,90,-94,-8.44434891535392,-25.5031872983119,-8.35969232598297
2,90,-93,-8.35586557287481,-25.5438750547966,-8.27366649851942
2,90,-92,-8.25285088383244,-25.5851737965048,-8.17331390296357
2,90,-91,-8.13600351499204,-25.6233410203784,-8.05923091022608
2,90,-90,-8.00612642683156,-25.6543230913954,-7.93212175166265
2,90,-89,-7.8641038335602,-25.6738729173409,-7.79277973078256
2,90,-88,-7.71087953553836,-25.677716190947,-7.64206889964686
2,90,-87,-7.54743734754674,-25.6617632597101,-7.4809068230535
2,90,-86,-7.37478407269245,-25.6223531094703,-7.31024887393484
2,90,-85,-7.19393522251292,-25.5565046129379,-7.13107433091946
2,90,-84,-7.0059034776966,-25.4621415302701,-6.94437439791571
2,90,-83,-6.81168972926549,-25.3382555895592,-6.75114214381461
2,90,-82,-6.61227643720808,-25.1849787647714,-6.55236427044261
2,90,-81,-6.40862298679925,-25.0035509800287,-6.34901455703794
2,90,-80,-6.20166270340113,-24.7961888427274,-6.14204879548417
2,90,-79,-5.99230119458022,-24.5658786811718,-5.93240101679845
2,90,-78,-5.78141571456637,-24.3161279481578,-5.72098081028392
2,90,-77,-5.56985528247628,-24.0507107424996,-5.50867154722321
2,90,-76,-5.35844132615651,-23.7734370426958,-5.29632933685843
2,90,-75,-5.1479686635836,-23.4879647082299,-5.08478256055985
2,90,-74,-4.93920667068597,-23.1976621825222,-4.87483184840463
2,90,-73,-4.73290051668842,-22.905520835536,-4.66725037956075
2,90,-72,-4.52977237502298,-22.6141101613397,-4.4627844032203
2,90,-71,-4.33052253953525,-22.3255664743383,-4.2621538901083
2,90,-70,-4.13583039255548,-22.0416055265689,-4.06605323583427
2,90,-69,-3.94635518400547,-21.7635506431501,-3.87515194672852
2,90,-68,-3.76273658973642,-21.4923697449854,-3.69009524653909
2,90,-67,-3.58559502336875,-21.2287164605527,-3.51150454867824
2,90,-66,-3.41553167958069,-20.9729721300808,-3.33997774378227
2,90,-65,-3.25312828851182,-20.7252867610522,-3.17608925631252
2,90,-64,-3.09894656104586,-20.4856178961888,-3.02038982685113
2,90,-63,-2.95352730344659,-20.2537669491623,-2.8734059786586
2,90,-62,-2.8173891772905,-20.0294129129695,-2.73563912794542
2,90,-61,-2.69102707694648,-19.8121435150756,-2.60756429713483
2,90,-60,-2.57491009202942,-19.6014839380841,-2.48962838911493
2,90,-59,-2.46947901630662,-19.3969231910703,-2.38224797807085
2,90,-58,-2.37514335747441,-19.1979381419138,-2.28580656896447
2,90,-57,-2.29227779408869,-19.0040151343291,-2.20065127317073
2,90,-56,-2.22121801684795,-18.8146690375276,-2.12708884237507
2,90,-55,-2.16225588163753,-18.6294595282281,-2.06538099693678
2,90,-54,-2.11563379170343,-18.4480043946699,-2.01573897910635
2,90,-53,-2.08153821678927,-18.2699896848219,-1.97831725665732
2,90,-52,-2.06009224924255,-18.0951765943285,-1.95320630000417
2,90,-51,-2.05134709279687,-17.9234050963819,-1.94042435768096
2,90,-50,-2.05527238164169,-17.7545944435378,-1.93990816389235
2,90,-49,-2.07174523930874,-17.5887408055922,-1.9515025314664
2,90,-48,-2.1005380140952,-17.4259124324292,-1.97494881890451
2,90,-47,-2.1413046772388,-17.2662428322725,-2.00987231769797
2,90,-46,-2.1935659508931,-17.1099225234291,-2.05576869345077
2,90,-45,-2.25669335616178,-16.9571899453955,-2.11198974059006
2,90,-44,-2.32989254960901,-16.8083221019568,-2.17772888496456
2,90,-43,-2.41218656252318,-16.6636254578788,-2.25200709970547
2,90,-42,-2.50239988101968,-16.5234275285963,-2.33366019174188
2,90,-41,-2.5991447098813,-16.3880694975298,-2.42132876551632
2,90,-40,-2.70081123760322,-16.2579000776752,-2.51345255871502
2,90,-39,-2.80556422924258,-16.1332707118496,-2.6082712326075
2,90,-38,-2.91134874719609,-16.0145320873244,-2.70383401837999
2,90,-37,-3.01590812336102,-15.9020318319339,-2.79802076892292
2,90,-36,-3.11681731830618,-15.7961131649752,-2.88857681140889
2,90,-35,-3.21153431075576,-15.6971142007366,-2.97316339575087
2,90,-34,-3.29747097743821,-15.6053675474309,-3.04942436763804
2,90,-33,-3.37208293885844,-15.5211998106942,-3.11506792164862
2,90,-32,-3.43297511763824,-15.4449305986488,-3.16796001279018
2,90,-31,-3.47801659074613,-15.3768706339216,-3.20622351859346
2,90,-30,-3.50545530231984,-15.3173186052708,-3.22833503356351
2,90,-29,-3.51402112547441,-15.2665564352589,-3.23320983574105
2,90,-28,-3.50300539357901,-15.224842698094,-3.22026562502678
2,90,-27,-3.47230683399885,-15.1924039908158,-3.18945736461264
2,90,-26,-3.42243774085233,-15.1694241396377,-3.14127880835676
2,90,-25,-3.35448949424042,-15.15603121106,-3.07673047340409
2,90,-24,-3.27006199696577,-15.1522823959613,-2.99725803435406
2,90,-23,-3.17116601651868,-15.1581469484246,-2.90466847619448
2,90,-22,-3.06010990222457,-15.1734874964276,-2.8010332219835
2,90,-21,-2.93938241417212,-15.1980402079576,-2.68858765849203
2,90,-20,-2.81154177678507,-15.2313945039847,-2.56963525860006
2,90,-19,-2.67911827053286,-15.272973268268,-2.44646236237851
2,90,-18,-2.54453450872548,-15.3220148173857,-2.32126722321318
2,90,-17,-2.41004467188554,-15.377558256219,-2.19610464796698
2,90,-16,-2.2776917809302,-15.4384342299602,-2.07284577148015
2,90,-15,-2.14928070597502,-15.5032634428565,-1.95315132226602
2,90,-14,-2.02636395940063,-15.5704655624068,-1.83845612660021
2,90,-13,-1.91023723797172,-15.6382811465502,-1.72996244667816
2,90,-12,-1.80194196313963,-15.7048088755194,-1.62863991182696
2,90,-11,-1.70227254866067,-15.7680594950777,-1.53523014667534
2,90,-10,-1.61178667168268,-15.8260263875393,-1.45025462195396
2,90,-9,-1.53081735418046,-15.8767705977647,-1.37402467996327
2,90,-8,-1.45948612976027,-15.9185156462662,-1.30665307375434
2,90,-7,-1.39771695580464,-15.9497449618834,-1.24806668361006
2,90,-6,-1.34525082731512,-15.9692928334734,-1.19802032666607
2,90,-5,-1.30166125851573,-15.9764190255496,-1.15611175286597
2,90,-4,-1.26637092532608,-15.9708580772969,-1.12179802346556
2,90,-3,-1.23866980980186,-15.9528368927797,-1.09441349866044
2,90,-2,-1.21773515928091,-15.9230581450452,-1.07318962103705
2,90,-1,-1.2026534712089,-15.8826514645337,-1.05727657556208
2,90,0,-1.19244454481924,-15.8330983982995,-1.04576674229004
2,90,1,-1.18608741348103,-15.7761398865618,-1.03771964784558
2,90,2,-1.18254770459345,-15.7136760714999,-1.03218788586386
2,90,3,-1.18080569416938,-15.6476676687672,-1.0282432418997
2,90,4,-1.17988406556231,-15.5800463165531,-1.02500205728667
2,90,5,-1.1788741857405,-15.5126388757711,-1.02164873319086
2,90,6,-1.17695961654602,-15.4471081711844,-1.01745624090647
2,90,7,-1.17343561214343,-15.3849105586787,-1.01180258716817
2,90,8,-1.16772353058674,-15.3272691914238,-1.00418238776388
2,90,9,-1.15937939848878,-15.2751609673376,-0.994213013731795
